investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19
KIRP,0.0001924650164742926,0.3711502205545844,0.0019737333949576474,0.0011750860113088097,0.007320046802123743,0.00022282424524241434,0.016089951591701818,0.00026000760652610417,0.0016737419249137325,0.0006637107310487741,0.006874071336715799,0.0010095979827675842,0.0025807357728546924,0.03707541560730702,0.018901292526126344,0.0020849342093170386,0.013338496584619813,0.018747388638531166,0.004124049123583923,0.17279205424281402
LGGx,0.0,0.00009355792618866894,0.007124337005101529,0.00007544469002216152,0.0043076611523098505,0.0,0.005148501121917995,0.0,0.0010963381486471544,0.00021866063444273971,0.00042440376538561877,0.00021716180905238455,0.4071386704485499,0.00761504746868082,0.02761798845223636,0.0031579845807417437,0.0017152843485357346,0.0024858586097374455,0.002723396867859658,0.013002424935298629
LIHC,0.0005830465452083379,0.003991002501540821,0.0021986335467891554,0.05269639017101347,0.0015883560779814338,0.0006790802586304134,0.047916614680088905,0.00007461675771743211,0.00026846802427206185,0.000022314586848581245,0.0019540749201965336,0.003000035599478247,0.0018612063077785878,0.0994258911600766,0.03309525652008524,0.0004955276400220836,0.00655646130107596,0.0064894061409836645,0.007698872284822617,0.030839427013168108
LUAD,0.018416273146004924,0.0007780001026653976,0.0007313339247212082,0.0011575686766289264,0.0048142136910471756,0.0020907598042318033,0.09929302241966048,0.0009426814120057279,0.004559838334464497,0.0014189573129627959,0.00416994447011101,0.0028205864512985397,0.00010685807112416796,0.14300816300357116,0.09267093471782696,0.0005511193217276584,0.5427057704273507,0.008237130101565258,0.052747611561918865,0.014391912276350793
LUSC,0.001749650653409601,0.000883493393274965,0.0038476180162142267,0.0001900703110761955,0.0031231438870085123,0.00020040611540372564,0.0032988810106545177,0.0006425112878804354,0.10137011256184565,0.0016542244150747115,0.0017185773877685397,0.006481974959645283,0.005539647040334986,0.23722755544631194,0.06194120776453821,0.0019560515111688654,0.0853623943225588,0.021657757257660625,0.0474207406191378,0.0026275408693208855
MESO,0.0,0.004688896414160136,0.0,0.0006352198416969077,0.1948922721320558,0.00048764154421577,0.00186124135657544,0.0014251579346067462,0.0013486785794455212,0.0016199577279120698,0.0015482933391091282,0.003844856549015782,0.0,0.0504654856631594,0.03195925637299309,0.0004814650565636053,0.06519049144795855,0.0,0.022197284849580976,0.004062609685021105
PCPG,0.0043579147407848485,0.0021687182780437946,0.0016836942359699505,0.00015626248741609642,0.003113916487708628,0.00009908997495074343,0.023587253367631223,0.00033442215129247,0.0010832304268310927,0.00032721171110792054,0.004037744700736978,0.005170068716300052,0.012890093804279341,0.0005844448420680232,0.06966474302086824,0.2313750820799561,0.004624962851255504,0.0,0.031872570409352874,0.02149846756160395
PRAD,0.008985272626719628,0.00015693112162443125,0.0009016338076440461,0.0006195930448905178,0.000905132625847969,0.0005920565566776988,0.004188264659944613,0.0008805651310175913,0.005882464069950813,0.0007959821978659905,0.0016603854905290322,0.0015654789951235338,0.0026916288033020166,0.03417702825361605,0.12145211356613979,0.0017312221195606658,0.006499161198773331,0.045087744328864615,1.8185481088585065,0.020075371889021712
SKCM,0.000980753685821764,0.0007143876660414123,0.3033492369202332,0.00042380389168388764,0.01867521839498977,0.0,0.0037840676318398733,0.0,0.0005912187549011379,0.00008946165257662828,0.0012985192011863511,0.002357570587398884,0.009377857995387626,0.055570957605409706,0.074972290628409,0.000060608851343850654,0.0021929460196543635,0.034572307238625505,0.0038113018821588915,0.007388435426952022
STAD,0.0038371537952382054,0.0027263860263444183,0.0024252514774694197,0.0020501437844374216,0.010904054236797953,0.01577911374978704,0.41361397023501434,0.0047211034166531616,0.0017296428441496104,0.00016179272587039565,0.0017604879417663158,0.0034029550441932338,0.0023828478968250626,0.12109825148979933,0.15981907482178442,0.0019389766743456874,0.016649881581042483,0.011670193329838723,0.04979282937096788,0.0011717843172577107
TGCT,0.0,0.001447411635606892,0.0017618062377326442,0.0,0.014864771111425392,0.0,0.0025660655669741215,0.0,0.0019464949884524753,0.00013572437403229438,0.0,0.11258022887022727,0.010548358570141005,0.17892888472859575,0.04818595267565759,0.0014659990040490707,0.005301479464373563,0.0,0.006348997579552914,0.013228259243995023
THCA,0.0001613424301521985,0.0011712709582548477,0.0005264702949053282,0.00029665085889044024,0.002714906795856371,3.2227460184722953e-6,0.005539907259192242,0.0,0.0006655913485723467,0.09041868823778158,0.0006622732678509862,0.0013090373696607752,0.00442108945619074,0.0009856406706653105,0.0414198082683324,0.0009617185724974228,0.030611416555463383,0.0017324381879552948,0.03296900109276823,0.020968312260966935
UCEC,0.005087902728642241,0.023761830404707116,0.0,0.001519909346166679,0.004397155877256324,0.00395376777644007,0.043530528088827486,0.0016555882023993008,0.0031752641017318583,0.0025097816775880204,0.0036383456391929424,0.004718625988312789,0.002900600957642563,0.03013814243072008,0.07109997058216845,0.0028227703199743804,0.04315468042849775,0.7944604945737146,0.14347761860648972,0.024125293029914816
