investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20,comp_21
KIRP,1.3270259715880027e-7,0.061840891227597006,0.0016873957431661674,0.0007390360152040249,0.0009315670822609185,0.0012762922508376684,0.0002112364295151437,0.00045352740923028926,0.007378700132067092,0.0005398515603148677,0.003029179940458468,0.0008531840683672089,0.0018035339723056387,0.0006598232523135375,0.013866131449339568,0.0007396974385820079,0.006706841397239203,0.010645867934327952,0.051450840833540415,0.0049951964515245065,1.30706962141951,0.035292678043026396
LGGx,0.0,0.004598763717012109,0.000588372554108153,0.002920521554164594,0.0,0.0005375572465504701,0.00017421913609188798,0.0,0.0034030672404419407,0.00009789859555847209,0.0002463739198558843,0.000562423359779188,0.2945712168840598,0.0,0.020380631093388776,0.001148157610423266,0.0010240285575479605,0.0005066370685976056,0.020479619572074486,0.001241274825299902,0.00026428791128301334,0.0005230388320132347
LIHC,0.0012940141759665382,0.010981514517260413,0.005474737151207425,0.0008556540630569301,0.0005093824076797482,0.00003726330726382508,0.00028851773818958304,0.0018441277105616161,0.0013957360078466628,0.0015725357368302146,0.0008813529120129853,0.00015516278355182057,0.0012914916789548952,0.00031168370239272535,0.02360254151856483,0.00017905854649936167,0.0031742457812109427,0.5023645285631266,0.02461833592483417,0.013078782701215014,0.014235982765142884,0.01927417840972625
LUAD,0.019589699041228297,0.004566820941362319,0.009901656742438123,0.00030749577872785317,0.00100888352312143,0.003231963863424775,0.0015594659315022032,0.006002354990409632,0.004415803679420244,0.0021921642795070862,0.0019143290188445182,0.0026663601705924967,0.00009782699280130735,0.0038625285748593117,0.06487216785894458,0.00011260293417905363,0.30383722982141215,0.00964262195660241,0.050881133534188175,0.010529863101817038,0.002350256340827628,0.09672822376025096
LUSC,0.0019413795875390962,0.0014001475170982466,0.00035242393869968204,0.0014519086035799005,0.003314266960585521,0.003999344175669565,0.0018476445613528022,0.00038532009946947864,0.0034188562726914008,0.0038026822971205508,0.0006934220550113184,0.058563082929455196,0.004046072253121975,0.0022170765589735845,0.04426339749029033,0.0006332652202123824,0.04937194717946803,0.001513783415089587,0.0268894043981971,0.02592529053414672,0.003459136340882154,0.07637615823380497
MESO,0.001644265737733861,0.002041185708944913,0.0003236948043077329,0.0,0.0016377500007772592,0.0042274470472847,0.0011733917881686265,0.00027133139461642654,0.20298120431359284,0.0008417002462776189,0.00004875745227058448,0.0006327981959683816,0.0,0.005048658466910989,0.02383628377816228,0.00005924172005916514,0.03689659363692284,0.005435809629071571,0.023480810775718456,0.011055980801213864,0.014143726497461314,0.008953612705106088
PCPG,0.003601838655653897,0.007052285061317119,0.0020333270466148545,0.0006859956362516829,0.0,0.0005907067489734324,0.0011378982316973501,0.00028733665644728776,0.0025847403814097465,0.00002374816252487151,0.0019055791755172877,0.0006152043123425802,0.009112142270430454,0.0013197904943768161,0.049510705122450545,0.08450112335743287,0.0017109920166392828,0.001389486958423731,0.014767190684246811,0.025324989580412374,0.006132136559934948,0.029217155330931277
PRAD,0.00933083129532113,0.002864696624743107,0.0002643400897678296,0.0002431602292718838,0.0002557987099976708,0.001056808703937178,0.06821859816489115,0.0015271090393402737,0.00011106533457100593,0.00024805845257485796,0.0007553832951595936,0.0026000067605932084,0.0019586668471763195,0.0050446090481761395,0.0847879114825101,0.0005953941821797878,0.002617856103990333,0.004371491598141132,0.2865827589364741,0.005093870535433596,0.001477166893238995,0.04226400598833631
SKCM,0.0,0.003099873607538562,0.00043341761416192516,0.125591417973198,0.005832795610732968,0.00004568096589624601,0.00021748895808792638,0.0,0.016590296845423028,0.0008879001566525762,0.0006740182792421238,0.00033206248833282274,0.007084552284153568,0.0,0.053100681585366634,0.000023525869061008425,0.001288075590594486,0.0037136658329412924,0.056476501059639125,0.01083362852169038,0.0020664260724670277,0.0
STAD,0.0036907384193630537,0.000686536805664882,0.04487316268489698,0.000932309735783462,0.0012464316689027128,0.0001390070717172523,0.0016660195699557628,0.04587266761543698,0.010491415465529175,0.002014365252400102,0.0007646168610503161,0.0008501090457870058,0.001543885705475138,0.02126331580023539,0.11594714589627138,0.0006825422533284759,0.008745540905194867,0.018588894856268794,0.03685006255745984,0.014246407607751532,0.01027461874681138,0.06822791146271094
TGCT,0.0,0.003528720040576099,0.00030530838411854156,0.0007320454730722738,0.0,0.0,0.00020414124295804932,0.0,0.013065090962831406,0.0032171596175665507,0.000020162508238414846,0.0009244902445337618,0.007645002982511641,0.0,0.03319901533550137,0.0005084243137935087,0.002279118639588006,0.0,0.052860128499749366,0.5491511145414936,0.00485178056757329,0.0
THCA,0.0,0.006924424425273697,0.00041646978769369,0.0002157463040590023,0.0,0.22814478429650706,0.0012792251254135922,0.000023716696593840273,0.0024112215461917145,0.00002168747130681387,0.00029876026443930397,0.0003420294486992508,0.003209835993050524,0.0,0.029257382200943902,0.00035036234227832564,0.01841649266354878,0.002522567698925861,0.01704266032773712,0.005924665506783128,0.0039110483470573745,0.008217301856595614
UCEC,0.007836103888543982,0.0058156916915356495,0.0011369202782182412,0.0002042348404127567,0.005512872806196952,0.002325830700598424,0.0015187532096523058,0.0016798045366801584,0.005547595129456643,0.00040652054601088896,0.0008875959847613152,0.002501716428341312,0.0019031241043964474,0.002533494711630881,0.06376302977974461,0.0002743435172726278,0.008573979767819128,0.0027510520845926093,0.0903210527619051,0.01146910258447461,0.03821758458561923,2.3558487953818856
