investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20,comp_21,comp_22,comp_23,comp_24,comp_25
KIRP,0.00009417795597103614,0.23377423106216028,0.001828286509708999,0.0007616410919992219,0.00022687000924672782,0.0013512172779222263,0.00027424313746774977,0.00009441578626282558,0.004074918117072713,0.0003550713339856281,0.00002306408345870055,0.0007099388947942975,0.0019221224226084724,0.00033149384362749076,0.0039631818040145005,0.00046567946421537733,0.0001547486181542447,0.00024364934842646327,0.006002708138559373,0.0005352973235661839,0.005191540607939249,0.002687984420379186,0.018026534205526162,1.724990856108006,0.0973450145198545,0.06310519478820216
LGGx,0.00008764245353712407,0.0,0.0006954077994979449,0.0002729810072625588,0.0005142062632550512,0.0005919179109865975,0.0,0.0,0.0004777292870501549,0.060101825498915,0.000018234101738757595,0.0012767203514482003,0.0,0.0,0.0059429177158622165,0.0000752349694067261,0.0,0.00010488730089933416,0.0033775528174911336,0.0033908986070966033,0.0,0.0,0.0153718697492895,0.0017969388980918243,0.021670391476200142,0.018043253228228553
LIHC,0.0010162317855914986,0.015821410663005513,0.00604594100737822,0.00195905830045096,0.00029277489970782814,0.0,0.0001950882191515117,0.0006385357945048023,0.01114176877133481,0.00024894678443094105,0.00006892991594841372,0.00019347838056488323,0.013736649142570377,0.0000832052640804331,0.006416602629453462,0.00020296726341336688,0.0000927344152040381,0.10387850340031785,0.0022398506626952353,0.0009025386380604092,0.0012511399918297226,0.00021660902196027004,0.018389107281095017,0.01208614024254104,0.04613362946247639,0.01105354205483091
LUAD,0.011465244940624064,0.0003486718873442791,0.01064091421156787,0.0012136372425244244,0.0022488376909800055,0.0031491607036797653,0.00024352761212976948,0.0013360638825913812,0.01697696643864627,3.523930120095803e-6,0.00011878528245443074,0.00004385502199687261,0.037498815388499175,0.000796982666373144,0.017275376146019816,0.0003845879829272123,0.01517432737484321,0.0016504996303325784,0.011988070598330548,0.00017228567329868034,0.009626405043147917,0.016436238926660348,0.051080249973261764,0.008822638078462933,0.020336204177243158,0.030485409503762637
LUSC,0.0010144612986799034,0.0005175788252224667,0.00011047693998320582,0.001499535417938698,0.12043552120489576,0.003932062984592839,0.0011098703682273137,0.0021675744783024612,0.030176805425938192,0.00024732140621303554,0.000011604589434334762,0.0003981909396777744,0.002800833967699973,0.00020198685367944766,0.011532736644596451,0.000051972548794981135,0.0025949640754753785,0.00012702414619776412,0.005539296301020302,0.0009869824618780286,0.001468213763065498,0.01895780931210063,0.0815672526911263,0.005579691822285916,0.008625103230665395,0.04066163795648318
MESO,0.0008509176389479295,0.0064698631113058805,0.0007349200666006695,0.000549778551983457,0.0007861107910229276,0.003577147419784807,0.00029713958189706783,0.0013206541733124506,0.007996387764032782,0.0,0.000020475296394367308,0.0,0.0024381443038479465,0.00046155106145507073,0.00626828483732797,0.0,0.002005013602558003,0.00047296364098997113,0.0044081357464489076,0.00017038960340050755,0.00006775611404935845,0.0,0.022553775071639557,0.03902149000137536,0.010453611485616176,2.375579820153548
PCPG,0.0006672839203287618,0.001524108893976456,0.0022852663298809934,0.004012624110606822,0.0014423278459386349,0.00039591706770118426,0.0,0.0,0.0006298640068699702,0.0017559426364408641,0.00013065679177275756,0.10036335045213576,0.002159395645346675,0.00012852626049878168,0.013936287869051088,0.0003943821718924024,0.00009178033890637878,0.00008024726790749132,0.0025556614728722993,0.0007858569881038556,0.0025219348295377384,0.0005154223539329996,0.009559693273991506,0.009227431650073845,0.033989732538151456,0.025564880227557336
PRAD,0.0025191083441435027,0.002192483595394957,0.0,0.0002187733580052065,0.001638386049528281,0.0010846203997150093,0.00028012195975699755,0.12541957041048699,0.0023663277556730962,0.0003182508478482422,0.001752809292372878,0.0006784625234634475,0.004106368095953628,0.001264201823761523,0.0171266150009193,0.00011891037684515061,0.0000850922065779669,4.8275946740578745e-6,0.0320037266845155,0.000037836555058382566,0.005893417504028208,0.022883711737848707,0.012464331301747806,0.0006032529117271245,0.011611859813244436,0.005322664614976411
SKCM,0.00007558218019230808,0.0010436695095140938,0.0005230573207071184,0.0015566256935763165,0.0004214339157838189,0.00001622037915786994,0.0017296779989856028,0.0,0.006611543901816984,0.001493846862496172,0.00003153671514452701,0.00004326874984510794,0.0,0.0,0.01505744390189039,0.00009822953237605933,0.000026641083767494956,0.0006050125640308763,0.016685663101832067,0.14631363011784185,0.0,0.00011615946322239046,0.021816320955529118,0.003758350095761971,0.017427912426559663,0.17981668450932065
STAD,0.002293020136296961,0.006667817209447456,0.043991673303059406,0.0021649919602493893,0.0011234786070638276,0.00028727946473169707,0.0004427396377265935,0.00434139811971245,0.01667173062436607,0.0002665428839258322,0.00005282062521585873,0.0007319785054584844,0.3358083376591357,0.00348843607934715,0.031478728881273475,0.0001387691342689772,0.0003931559426276086,0.003040976532655447,0.008798438111829166,0.0010321079829659061,0.007776556541995817,0.006342993855461713,0.02929222943750925,0.00795697095843145,0.005137034538544674,0.10212161541609706
