investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18
KIRP,0.00024037612251689804,0.06182516086316427,0.0022678339196947517,0.002000945617853718,0.005432693935894021,0.0001643667166291271,0.0016371034547314105,0.0002445884100516209,0.009748524309258105,0.0008245733812966514,0.031612909844211314,0.001995069034137131,0.003480399401718553,0.0016047591083219615,0.008917648750650311,0.002448291340362192,0.012602531038180103,0.01671663504524905,0.06771811607119764
LGGx,0.0,0.0039674284502139445,0.008280497842616976,0.00008750621762313372,7.452220772610905e-6,0.00004983283845134215,0.0,0.0,0.001253577117578772,0.00027510977235822897,0.013601936785542453,0.0010752709079963044,0.46345797264412353,0.0007159698924251288,0.0009986908069856732,0.003505568480406254,0.00040830143423540704,0.0024005746954856035,0.09124017788489427
LIHC,0.0009335593167155774,0.007078853069435853,0.002587379290204751,0.0883463725541317,0.00005260931293981283,0.0004848483649144823,0.0045227205546632294,0.000018431399731106624,0.003308487818247761,0.00005976662646404362,0.0622541435161666,0.00006929043002184574,0.0022303493675872067,0.0024402263248833596,0.034240396487888645,0.0005753612391529788,0.006432454171955183,0.006524621143358958,0.11170119390408972
LUAD,0.023143465006336926,0.005103590883939265,0.0010612037093192972,0.0019058601604109674,0.000023141071744710515,0.0009776718430987554,0.014901203055457847,0.0008076272211011416,0.005451145004675536,0.001533481785504791,0.08152234161244397,0.005406080966012236,0.0003102020454215691,0.017666163172444384,0.03404468249482386,0.0006411664993792996,0.6018602402998805,0.00652713584772375,0.3194388817640507
LUSC,0.0021328175396985918,0.0000841650183776857,0.004445498768783737,0.0002965702200789709,0.000012556570653888616,0.000031509754638611256,0.0013846234585907628,0.0006277123264354605,0.001661300720011931,0.0015176870565095184,0.12814412089656216,0.10852949136316631,0.005766402502987856,0.014919186610850647,0.08219170452335371,0.0020792104012943174,0.09358023467701429,0.01937124623100187,0.25549521912996365
MESO,0.0,0.007241862850443468,0.015031073601330273,0.0014012358103267025,0.0005867411171003648,0.0,0.0031595917322031933,0.000332862198049541,0.1064699032904001,0.0056163967500274855,0.23816252101538524,0.008906392586956222,0.013727946446802928,0.010376060498506836,0.032983893286401306,0.0018518953710744332,0.07055207627858763,0.031234222491515095,0.07917326108690469
PCPG,0.0058464257928350465,0.00737510035403764,0.0023127926776653346,0.0002665442978454149,0.000040287837896120626,0.00025794276925767,0.0006782502084445174,0.00024815561264294995,0.006126953896361283,0.0004755212835259171,0.0049359363712564,0.0013114823442131776,0.015265106289456605,0.011576126416062522,0.044359485414881036,0.2893314092905357,0.0052238356038833995,0.0,0.20502374086857653
PRAD,0.011100692324071296,0.0060765674203501225,0.000943257326020987,0.001074555598969689,1.9017735547653681e-6,0.00003387503115658172,0.004561443458009588,0.0007980904984345018,0.0020446725676936547,0.0009351523343836393,0.027022203181281883,0.0056548054427675715,0.0033183016449660997,0.6734041472230403,0.01452201008914359,0.002173360758308749,0.005274934584970314,0.034663432976424116,0.3815634462357338
SKCM,0.0023450573511985756,0.0048004330085999105,0.3667996463991671,0.0007750286016046998,0.000010094583731318687,0.00006574195374831315,0.0,0.0,0.00719614868844986,0.0002882522083110551,0.055666419414406934,0.0008023683295755486,0.013715529905176898,0.0013284267454709594,0.027615910612637927,0.0003854693220373156,0.0018117810922546865,0.03225004434674499,0.217943068854353
STAD,0.005034162359610864,0.0006395327440737132,0.004303973878747179,0.0036202939291465038,0.00004270632736668665,0.004066620496075447,0.11147451505847862,0.00431168089426266,0.004777851978920002,0.0001659108759260339,0.07034085853147663,0.001986881033858944,0.003221338221398717,0.017832039699712317,0.04657768661826205,0.0026176197111037387,0.016989987686338776,0.010041650338634758,0.567975826458189
TGCT,0.0006804192421103965,0.006879621842700041,0.0035182077562536493,0.0,0.00003764198639469144,0.00010965458194563409,0.0,0.0,0.004035925236074993,0.0006372082211411526,0.07384601084795517,0.003229091418898955,0.015284382704021866,0.003138921526265799,1.0976338437404793,0.0026734937257543593,0.003194238462767412,0.0019012594103948316,0.16595804134404743
THCA,0.0003309309403029668,0.0076692619655084615,0.0007904654147027096,0.0005068984139215782,0.000019129678053505927,0.00005955983916013114,0.00007908885200092752,0.0,0.0010765693244948467,0.11018516523796977,0.004122894606801793,0.0008275476631673625,0.0049575644226233515,0.012231998243248682,0.012188235329624871,0.001246389923001506,0.03237013826527834,0.0016903458068327595,0.12677593178921015
UCEC,0.006145926485755167,0.009047729215824207,0.0,0.002636782414277515,0.0003302809420234853,0.0004976783285488124,0.02717099703042364,0.0015894985942982527,0.003541752203304308,0.0030425506236763625,0.028381018499249296,0.003237531926771472,0.0038851264934140527,0.052546949493160626,0.03636291937507564,0.0035294441537329527,0.049797005826487564,0.7088795490529172,0.22754795465666894
