investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20
KIRP,0.00012436444739730948,0.43997982006753217,0.001712368626341178,0.0011030342641628684,0.013611750790443843,0.0000504971458786172,0.007620994508309768,0.000292623465866525,0.001367937401324214,0.00010237621339001269,0.0019271437554259224,0.0014383381342173147,0.0018484912431955252,0.014831382808773363,0.017635979162806854,0.0015652708817669428,0.009782833706041105,0.00905128420334057,0.012705290096493826,0.11051916555380716,0.09578701779210472
LGGx,0.0,0.00009519898563099162,0.006151062772900183,0.00006245266972681286,0.0031139534970476435,0.0,0.005942301938549356,0.0000444030969348558,0.001134673850903815,0.00003205199152863134,0.00040662014615311024,0.000028380343581196652,0.29950305321852316,0.001317124015855083,0.025256256296304718,0.0024949769510583582,0.0014322035786950656,0.0037829746044380284,0.0,0.009029218738045698,0.04435741386780679
LIHC,0.0007517306510210711,0.004602876429066167,0.001985417180420517,0.048839679919746505,0.036501412206131734,0.00023849851364924113,0.014489309997369658,0.0006286669392581624,0.0002666442280621583,5.8277769068082535e-6,0.005730803981616171,0.0009853523665482155,0.001352566304752421,0.00435877697434671,0.030339711267675828,0.0004279803287437105,0.005557814505914466,0.002319243256678994,0.0003495513758407608,0.018801805969421832,0.015832988897277585
LUAD,0.014813374013482677,0.0008153876836555556,0.0004797304579587812,0.0010603380967808126,0.05075217112712998,0.000677439698020511,0.08833214367527524,0.0017536318764032625,0.003768134241077872,0.00023140635763642132,0.004992539841617235,0.004517969278438629,0.0001174330735452735,0.00920084582082296,0.08117833440875664,0.00027618460329365143,0.41285615109575496,0.004564436213368128,0.0653496407381121,0.009537416321300247,0.05488569859583759
LUSC,0.0010231725425575932,0.0010784927771784404,0.0025060081944184008,0.000135608662303341,0.08344452681928695,0.00005835893806848263,0.09499891482122047,0.00010802070707468728,0.10137337750889888,0.0002710703413258866,0.011161487036126492,0.0031301498841468283,0.0027283013082567238,0.0029289643820274405,0.05741593838605206,0.0013680484992284953,0.06539629978614726,0.0076187629389531,0.05967967435267286,0.001313076483820728,0.035906591600883775
MESO,0.0008650211324684672,0.004766350190872469,0.0,0.0005505242211494478,0.018935369473915522,0.00011077786140960666,0.04890905550172387,0.0001925055095425842,0.0017830257274947814,0.0002582039742562159,0.005329742096290511,0.00023616611319529304,0.0,0.0006491893119420543,0.0297500296285543,0.00007343755990694432,0.05110895025239731,0.0,0.0,0.0034516820962227856,2.7714482021590485
PCPG,0.0032882664924954444,0.0019887655506989604,0.0013309942765749713,0.0001320037840322775,0.0008032322404763687,0.0000378567764471317,0.05380499102762759,0.0006731238494783483,0.0011162175373062551,0.00005433599402567663,0.009569085900413467,0.0012328682981217255,0.009453440627959022,0.00914282395574165,0.06327658421230348,0.18044062308229536,0.0024533259520505514,0.0,0.0009576090297847219,0.014853755905202786,0.03649080888503517
PRAD,0.005586768340905915,0.00013470600236817186,0.0006150486291984981,0.0005169878301814238,0.012547610823261918,0.00007733925419604763,3.357666316151825,0.0003377189387355787,0.002337813224854974,0.00010350509365633103,0.0027550046729558865,0.0020743218684636635,0.0017648712508404223,0.003557302270051645,0.10639966421895325,0.0013309955157492742,0.003808492740282196,0.028752212518810567,0.15299780982457112,0.01306208825930029,0.005227174109455747
SKCM,0.00042564486078746375,0.0008508939326323152,0.26386072972960994,0.0003597623451037238,0.021283020752424733,0.0,0.007811779537245475,0.000012574809799557057,0.0007429447395096372,0.000021127301328456974,0.00460830815146426,0.0,0.007349061825288316,0.003030661821808552,0.06602224917177063,0.0000448051549058978,0.0022117299712101413,0.026695674874131825,0.0012179468295275891,0.006197738728642187,0.22422035446351843
STAD,0.0032642179781254997,0.003677727134285586,0.0021278452469775983,0.0019283150164840538,0.04238847334315828,0.006014857863782137,0.10165604136169894,0.009256431391447204,0.00237447512319682,0.000034680067928638334,0.006345317633455739,0.0032147477243822478,0.0015717314504750935,0.004544410012581647,0.14068786227624058,0.0014491517939126774,0.016735441212253312,0.002308688556850619,0.03991589877619643,0.000317964282829689,0.13523006515920694
TGCT,0.0,0.0020291845893824958,0.0016291755036212437,0.0,0.06062291543500845,0.0,0.011226756007103307,0.00003722857590025773,0.001726944265451401,0.00002061170066112842,0.21693887595574615,0.0,0.008117600977740898,0.0,0.044983858944564484,0.0011253595699427601,0.004365483429682082,0.0029294409173223008,0.00678299821960019,0.009497369559920458,0.19036557040408342
THCA,0.00010073254555801045,0.0012836517959640189,0.00046313841661808463,0.00025454445062888674,0.0004219070012391858,0.0,0.06152789020147705,0.00005674890960215788,0.00030844390393782773,0.01430459685511694,0.002414761494476962,0.0003789276020103368,0.0031506361795849867,0.0014991177251926537,0.03714353127081099,0.0007512058116373828,0.02435548896434094,0.001222629239953308,0.009268873274988041,0.013567697324102512,0.0347367116428316
UCEC,0.006144790287453198,0.01355664317467853,0.0005288037736232388,0.0002789174522062126,0.013179329138545906,0.0001694734634789844,0.06998218215546544,0.0001648635060848347,0.0033279267302581735,0.00017608563783008162,0.00375589526303875,0.10024317465170199,0.002208661484645492,0.004364786806516026,0.08231423567811794,0.0006292240205628445,0.010736906495229931,0.025054718470954248,0.05393773659467565,0.014038553299821312,0.074850790105059
