investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14
LIHC,0.001718905784442495,0.003416577773629207,0.0024987868700141365,0.0005198144095889012,0.011675215005589155,0.0003399047672148615,0.00036059775264101477,0.0010468052096912995,0.000376022023509468,0.00022657006006690235,0.7606766506727792,0.015181688230321367,0.01062740689245323,0.17233056256071216,0.012554724367776372
LUAD,0.029421507986108816,0.001351313587164862,0.10329704740731711,0.0012351367887418942,0.03774555181026205,0.0009792200549060305,0.00011196161772962359,0.005491754714298808,0.010895719417462202,0.005543368466430564,0.018072053291510015,0.018597201257343383,0.007716131270586752,0.21998227657220285,0.013092887201401239
LUSC,0.0026571585747416707,0.00045880833604753854,0.015229520547306313,0.0008210078078733,0.02628352393890447,0.000025309233547337337,0.0009882321346204503,0.0043027539391611025,0.23932027437116232,0.004003363055357133,0.001998643952469182,0.04220314823728413,0.016148683985097237,0.3153978971434447,0.03282926921869865
MESO,0.0,0.030231063004760923,0.01195086771540955,0.02068964863123578,0.008687187155840092,0.0001872353570503842,0.0011653875512005493,0.0036884915111031666,0.02397912911142775,0.01473039496173696,0.021730494775391695,0.013532760069329835,0.06454418172179234,0.7854930375837395,0.04217446053308226
PCPG,0.007165498692124132,0.0012066392707932678,0.00036419632126585643,0.1012471415130335,0.020975037609164224,0.0002111202486466381,0.004887191080030311,0.003289092635981317,0.002131247477322048,0.000914055470168079,0.0010975749459270034,0.019146614790983802,0.0,0.00918282895524116,0.0
PRAD,0.0121214610867958,0.0010834459183947833,0.0020799842036995186,0.0012216493920851046,0.03828109138885316,0.0003504929094221446,0.0005204005245710624,0.2072301136000408,0.012809307511552749,0.0020994300209619785,0.010290145859613957,0.00511060730028874,0.003194872346236257,0.0767269385663912,0.05762784941633243
SKCM,0.0029079651068355974,0.0005716698380317481,0.00041074423918875316,0.0011826693972878358,0.02139732710656223,0.000011590694267235398,0.001952804841030036,0.0005080092547066471,0.0018081625642899673,0.0007424597050748907,0.00773960922350428,0.011916540512598803,1.33912720363116,0.1614880455455969,0.04836299615772569
STAD,0.005515047474860739,0.003542084808751795,0.020949374332348905,0.0012253698523317805,0.08587159709645459,0.011577926798930323,0.0004232696501099087,0.005923657595289177,0.01224157003072673,0.00020125231857476072,0.053737514108010934,0.019312102206237497,0.013962465130137,0.18342951417340053,0.03505213811326019
TGCT,0.0022379919460380595,0.003965241966696628,0.0001728444362293093,0.0016535881640374435,0.014605006912962694,0.000015409782498329575,0.0021983507884959157,0.0010390631960235566,0.007291028306863762,0.0017620081023512013,0.0,0.43697555257388326,0.012482430984315035,0.16462360497203193,0.0036475189494450133
THCA,0.0008858747933853898,0.0024305364841232797,0.005076207136762045,0.000524276246492504,0.013812346106584217,0.00001208556787840052,0.0007970014595231311,0.003849623543431778,0.0015055013258210212,0.2519116282791841,0.004566270860051963,0.004720074601074069,0.002934508106324701,0.011553130014007642,0.003003153800125352
UCEC,0.00594226095937376,0.019244877443784107,0.015806361137360225,0.0020262723848805207,0.027903754947740705,0.0020357032080461665,0.0005837575268527547,0.01569143503592059,0.008562638374110986,0.0057193570971541,0.02680528129220106,0.013466888837828959,0.0,0.07834847607861593,1.1421508124218316
