investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16
LIHC,0.0011241281479367011,0.2919191960268954,0.004608666751884603,0.00030395002434926034,0.0006594870619713444,0.00001900239876347971,0.000432697307418172,0.00920635305936078,0.00017901173674811176,0.00010919606720014922,0.0017415011984302261,0.008944406023872335,0.0045474694958032875,0.14312245894371833,0.03512022977951732,0.005365742976890177,0.009760209257156625
LUAD,0.02531585089442506,0.0065000364951058485,0.009082416101936126,0.0006684979374787417,0.0002789790545062213,0.0006275490613760743,0.03542273120089613,0.0258636427822317,0.009732145237772534,0.002667275041077088,0.010504401766973974,0.01026957805421917,0.000564352656801461,0.16271538086170545,0.11170204262516516,0.0032522999202763995,0.009345549010237953
LUSC,0.002485180379656607,0.0009831206581901646,0.0003003732396614238,0.0005253681467655619,0.00009382694297970228,0.000375667152691397,0.005843837533799662,0.019923615239941614,0.19288713750414715,0.0021957017828458532,0.00863915019093779,0.025517565471216325,0.011130993684534008,0.2538620969195452,0.012641862217466602,0.008233410661067078,0.02706077043931591
MESO,0.0001269025764053308,0.007099095978152876,0.0,0.011527198735070241,0.005527088206693563,0.00013408419602510598,0.0040719836153705275,0.005877693893275449,0.014264278534084131,0.010753411957786636,0.00695556238276169,0.007673116795327222,0.016505584074274358,0.7125135108902005,0.04910579961804428,0.030260246951442464,0.033222676469580804
PCPG,0.005029676694701333,0.00039821822721051016,0.002604164432468453,0.058149176302677116,0.00022429905346121626,0.00020674358907328324,0.00015023285750302763,0.021142755951598185,0.00160505073776753,0.0008192963349902773,0.006534752448604851,0.00950709330181946,0.05946996538188497,0.003265863380805795,0.0018485247981371766,0.0,0.0
PRAD,0.010866108385772769,0.0036488421023139978,0.0003718196407032648,0.0007217332273831695,0.00019262042594628357,0.0007083886721200381,0.0003202498727605932,0.03203791259441961,0.009997021846232992,0.0017275263901993531,0.4103016215230629,0.002929191298290608,0.006271381924572498,0.06457157232977319,0.03264629439686896,0.0018668245253667165,0.04706482752061103
SKCM,0.0022426789702600656,0.0030409907368186776,0.0007290789383520088,0.0006241231624186363,0.00010341913586452851,0.0,0.00009190293177790047,0.01789156413422633,0.0014731470997789522,0.0005320236557685053,0.0009998823320908604,0.007134484775051759,0.02390816651980541,0.13778515209927528,0.0,0.7011291132941557,0.04243198827547997
STAD,0.005643210083825174,0.011676671882815052,0.03672712726527044,0.0007260392236017871,0.00036613761822801424,0.003472739499018778,0.0009433085791431442,0.04271762214107892,0.0035395106532766295,0.00030960791460021397,0.01083406055821663,0.013959227960337005,0.00611587918844886,0.1496966185050357,0.8381874856205852,0.008196769286766563,0.014890733620288529
TGCT,0.0008510288736297431,0.0,0.0020135789209348213,0.0008983354463958033,0.0007610555760630977,0.0,0.00005064290403138226,0.012814857261821773,0.006072475185134388,0.001459372511292444,0.0020109960352571055,0.24594552147529983,0.02761116908561381,0.12599591674624902,0.0,0.0060872962229207355,0.004846133682722505
THCA,0.00037582736201604054,0.0019236831258352786,0.0005242872309776171,0.0002964057189921999,0.0004948658695692915,0.0,0.0018844095611711654,0.011209792604622446,0.00138010103487908,0.19379210959701657,0.007522510173755951,0.002697264141258576,0.009880809375492785,0.010530680713586312,0.000323490557568924,0.001497714858725633,0.002442458131337351
UCEC,0.006588705164871435,0.008785020108724924,0.004627214902272928,0.001127953760857223,0.0036347950401418366,0.0013204654608949887,0.0029186354572851227,0.01845551898775177,0.005903175779292492,0.00541351326100376,0.03139692745285028,0.007721026355790352,0.0074358361732449006,0.06657041932302797,0.19557291721788117,0.0,0.9716333314454927
