investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12
LIHC,0.004587332985188895,0.0033192094578849032,0.006488850287453387,0.0022903266154364575,0.025762723765492487,0.00040037243477351127,0.000032159695058176347,0.005055292660490665,0.001384239781951865,0.005192867758153808,1.4763822487758431,0.006490319352717503,0.031525821265608614
LUAD,0.04059267059294284,0.0010473687352258352,0.014787053256207893,0.0007603468871073416,0.03760903637278709,0.0020195500414307422,0.0028242729155621357,0.01575291898831985,0.01268262378897682,0.0034591261927454375,0.040182097102421495,0.014002471631960806,1.6534396288108362
LUSC,0.0044638044940667225,0.005526621363885106,0.003715454300643057,0.00025708887844884214,0.06185130230343856,0.0001173070615865017,0.0025846044487433687,0.013901182764688078,0.2776440517066124,0.00569785498691079,0.006200303416427038,0.015579236485819431,0.271923568646387
MESO,0.0,0.011941270342843762,0.0014263022675389447,0.029572867391584882,0.06985818203666878,0.0,0.010692278767604825,0.005234247307268057,0.048620432170981165,0.053664094762496506,0.06323672280119944,0.16475165368410055,0.32670304746936774
PCPG,0.011733778582696032,0.02739846304952193,0.0003861691064270517,0.0005893813456166988,0.013152332736973629,0.0008577870476061846,0.0003424429201369688,0.011652364849332552,0.002209198807456613,0.0,0.001891791157447067,0.8289662348832512,0.0005459736121210174
PRAD,0.03303842257819339,0.0028873078138771375,0.0056739251104159566,0.0009084414430558746,0.012297999441358214,0.0004248663163853712,0.001980421796684828,0.49369368669961644,0.0195201776539369,0.0010278501782931542,0.019937879856831396,0.011456064415836456,0.03708584141953224
SKCM,0.008571089544400024,0.013990368130833939,0.0013251332384826991,0.0016304361600284595,0.02670698081294494,0.000011371900153035808,0.0011870347892089968,0.0034627147637403565,0.005721437149661427,0.568944983246566,0.019121158844978135,0.014230774185758542,0.015387929156850912
STAD,0.011251507018475987,0.004303601610948504,0.11954264710761475,0.0030132301653759707,0.03685951518577839,0.008256734305248472,0.0007262802420499147,0.016228231801429526,0.009458886974232604,0.009164746401867038,0.06558080701206494,0.014239829219192965,0.09004908861016057
TGCT,0.004639697655652169,0.022353043721255177,0.0,0.0017318746354585105,0.16246613969851667,0.003425265433893746,0.0021199031542808405,0.0031798882923547173,0.018812453790112826,0.018619525872758155,0.0018473151882450402,0.14909889303427254,0.0
THCA,0.005121487436636292,0.004600537329064534,0.0011281150687024954,0.0015211578296206475,0.005166080456343188,0.00008395193561704934,0.169455000843026,0.008345050274687675,0.0009049901797885485,0.0013774431560926227,0.009646400110171068,0.00838538464877807,0.09954446283005151
