investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17
KIRP,0.0002569602941982538,0.04678503259472135,0.001876892778957913,0.0019142940253274348,0.023400770643681776,0.00010792911010730648,0.0006789040883195476,0.0016207335421216823,0.023506824296179184,0.000980545534380262,0.015313857217822309,0.0028104546549804627,0.004586663482084263,0.0024902180334244045,0.027418122050020508,0.0043766917913315604,0.01915614486938428,0.024594730010464663
LGGx,0.0,0.002957022922690623,0.006825237076615969,0.00007171602534279456,0.000033924605737541136,0.000012982508155849587,0.0,0.00017930259546431365,0.009953857717325935,0.00032313391637919564,0.0019682773853633294,0.0015492220485739108,0.6089335649925854,0.0011789038727704735,0.0368011964904756,0.006345823728985906,0.0008253299839174218,0.003434983892508653
LIHC,0.0010439288892177742,0.0052784855041024,0.002237255040903945,0.08421969774403278,0.00022542458471776637,0.00017541663978254356,0.0019225039996516818,0.00614578148199598,0.04647272378411149,0.00007036056154823155,0.005344531380713157,0.00011683137126541676,0.0030115333565506087,0.004187784787346518,0.04522592744963458,0.0010308342336623668,0.011268237006266132,0.00941890038353775
LUAD,0.022975680918281373,0.0037793894573938374,0.0008661613666615813,0.001953911997236596,0.00009883986403755157,0.0005974285102787016,0.0064089000727341975,0.006270610164964158,0.06221298819203835,0.0018889818279713686,0.008612956988657638,0.007317264641094139,0.00040163960807639785,0.02703731665398681,0.12818808965152612,0.0012063707734427246,0.8723725088353035,0.010703535081960024
LUSC,0.0021691652679095125,0.00012499042817477386,0.0036802717635217256,0.00027901393322201046,0.00005114329965612986,0.000042210364442520674,0.0007419770474579315,0.014957837891896064,0.09575194086256739,0.001839606997122386,0.0025044832637308918,0.15047085965405754,0.007716145417563521,0.02325356881393966,0.1013407987765644,0.0037815971062804626,0.13312748385000686,0.028119004494188686
MESO,0.0,0.005341809060384557,0.01235399652635893,0.0012615759436467248,0.002535443400800686,0.0,0.0014592087295199356,0.005848182386938822,0.17708258998116616,0.006611779376990632,0.16649905104441934,0.01272100648951309,0.018086925712607064,0.016065789300811522,0.029941680803562954,0.0033681205179049854,0.10148734775457917,0.04450906276238352
PCPG,0.005867079776195168,0.005471251924256945,0.0019056455653443823,0.0002684073075561047,0.00017509854421080058,0.000253235250389631,0.0003004561541729315,0.007914914570409269,0.0035147388621949885,0.0005514515802223035,0.0095987459966949,0.001857468229117941,0.02010518237461735,0.016995516654595626,0.08360570866815091,0.5159344143898087,0.007955534226527285,0.0
PRAD,0.01141402978051528,0.004543246833810456,0.0007623054832390614,0.0010265801265396243,8.30287041808788e-6,0.00005701516779881953,0.002230362406392216,0.0025206970856694695,0.02002778174420187,0.0010936403678996041,0.003133677326443376,0.00796458275699449,0.004310077340209029,0.9849050225972723,0.1533135104040022,0.003845538872471588,0.008110279688856668,0.050302738110425224
SKCM,0.0022288775910256063,0.0036206214171295575,0.3012994788319159,0.0007184039112933544,0.0000427025711290332,0.000012335915948514748,0.0,0.0049276161599244705,0.04124998901068491,0.00034389028317929893,0.011361251549426967,0.0011682386902622248,0.018022056858374103,0.0021687695830432366,0.08819407027723045,0.000657722735485274,0.003145497661262701,0.046645451391977406
STAD,0.004501094811724765,0.00031752443322510365,0.003648064938787742,0.003793140089501394,0.00022349475251025097,0.0030937868345262587,0.04955823230555737,0.008139650366154992,0.052162745357523604,0.00021028595863832228,0.007595955004625782,0.003417600942415066,0.004246998827601305,0.026247192193471228,0.22918297408502325,0.004616552741834062,0.032419726620582914,0.017832665317898636
TGCT,0.0005351468267344073,0.00513681305963429,0.0028971266679222543,0.0,0.0001752994608570452,0.000018634245657555318,0.0,0.19558459138752873,0.0547264611032102,0.0007076253485141311,0.006330901439866554,0.004491524290553764,0.020064358770095065,0.004435667788985496,0.06590443667534575,0.004761233597549517,0.006351942992697386,0.0031687657971466174
THCA,0.00030717296598004376,0.0058298226990921,0.0006566126928980275,0.0004659944859992253,0.00008263926028857483,0.000022690332922356768,0.00003207141735792283,0.00216848370131149,0.0029908622716827813,0.1292182916291654,0.0016832756445888401,0.001176308414653061,0.0065003315010369435,0.01804829736413387,0.05161533540946072,0.0022202480456902525,0.04669757007890033,0.0026296667156168073
UCEC,0.006193853188497632,0.006900107376574414,0.0,0.0025710168977708834,0.0014378241433599824,0.0003350048124474098,0.012062834127576276,0.006694565667192816,0.020644204433954226,0.0034960997743001734,0.005561263799375299,0.004661979860219895,0.0050447284322680955,0.07845035345659358,0.09233554473864616,0.006345149651157914,0.07584574045665468,1.0277204796361676
