investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20,comp_21,comp_22,comp_23,comp_24
KIRP,0.00005956850080389545,0.4240892195161727,0.0008607356386669693,0.003220476078891558,0.006009248648818963,0.0011519959950115899,0.001565564563620702,0.0005927811523150384,0.007581515914662858,0.0020096067482558307,0.00019799007769163076,0.0003136495815515163,0.000270543726449655,0.0003538993549515834,0.0044016337469136545,0.0003264453088786667,0.00020339824926406708,0.0015987874770895787,0.0064532808451890095,0.0020706654122819765,0.019102746261319394,0.0036760642343467106,0.11315141510917946,0.016438726973133918,0.08480751553740375
LGGx,0.0,0.000943164936980215,0.0,0.0003734564688688046,0.0004103618466400428,0.0005084887764477254,0.0,0.0026991614489353458,0.000559614952254069,0.00012767170479587955,0.0,0.0000868514320020097,0.00025331742974474194,0.0,0.0007645788501559915,0.00002865739763442069,0.000056933960994409265,0.0006128367586201999,0.00967156744564841,0.3214699827074713,0.028307432246489114,0.0,0.003305491650993225,0.005741142742276583,0.07788468002009535
LIHC,0.0008338228723393896,0.0033940736595399383,0.00006794569431678332,0.001100720230597238,0.010107547323359228,0.000058089011852400035,0.0005489505605934671,0.0007021937754207526,0.001803641426057559,0.09582658121882505,0.00037965850167691675,0.0007506107879980377,3.1044935837564807e-6,0.0006352197052090397,0.011143101669895664,0.00014152677917007614,0.0009678956432247927,0.0006348820465101044,0.0010759363673136537,0.001569388429225455,0.030442910685763495,0.00005283997231828969,0.008431937465417353,0.030670103263877837,0.18774608832925116
LUAD,0.009815843520771512,0.0009016384419243908,0.002748377575313375,0.0019987596347188987,0.02165308059897111,0.0025080511971386455,0.0036145950079546534,0.0001635060892305115,0.0033488264566179007,0.0017501927047238138,0.0007958875939638867,0.0005244354031251833,0.0009736348714194377,0.01168741035826336,0.025463153223464142,0.01830470949450122,0.0017505747753501439,0.0011997799217183219,0.0004266276483828346,0.00014168488695254198,0.08090620250015941,0.02430668585935021,0.007931903200956242,0.07904845656110056,0.07034383884887357
LUSC,0.000726597162209944,0.001022963828418533,0.0010698950041560273,0.0007676534969973503,0.003522649325315529,0.002806264567341244,0.0020058783169295273,0.0008757175444204218,0.0013802018075466497,0.00019437676655470235,0.0007247615959595835,0.0010701562620664953,0.031631931605535,0.0023163403366091486,0.04107342361384884,0.003007237804747646,0.000010140963838603098,0.0022578772146606063,0.004840564783485981,0.003383486208173635,0.05487109259629713,0.020490416699086866,0.0015765713541686988,0.06715344944437651,0.16746363027835764
MESO,0.0003501554000202093,0.002580812869225732,0.0,0.0,0.0009237860836522107,0.0027932703856299542,0.0,0.00047987032815429917,0.23072103364068489,0.0009068086114359697,0.0006829160798182123,0.00015314970873833022,0.0002841910972372547,0.0022852803392037742,0.010677924467552847,0.00221725256204671,0.0,0.0007089141581203777,0.0005031326195841509,0.000990287128762705,0.026168099538338076,0.0,0.0036392296400225206,0.0030474839626617365,0.1759600321059028
PCPG,0.0013283269366491548,0.001646361516244818,0.0007941226105109144,0.002071550199930353,0.002331108162249743,0.000257574070531962,0.0009624754195406039,0.0006103593506889568,0.003524087173333258,0.00009267006121272484,0.0,0.001533086715357553,0.000279005316699661,0.0003550776293004886,0.001053122973156336,0.00009169511738152214,0.0003482918131417543,0.0,0.845607550062152,0.008849788546675183,0.0671136219744946,0.00025234789388600204,0.011278655783754196,0.06826958881682142,0.05005053034169864
PRAD,0.0024845092038347505,0.0002967008844951755,0.0026646923496969803,0.0008827202264273551,0.003168906564648417,0.0009780818160694264,0.0019650337530081378,0.00005790774781860367,0.0005334733487970803,2.0400301309422752e-6,0.04890737764968149,0.000060302705866284835,0.0006160353142693072,0.0033152399026891662,0.003427535878219323,0.0001405279610623863,0.0,0.0022771333895377148,0.005954319088052941,0.0019038551262867127,0.08570231176251596,0.030745138492704684,0.007468002280081914,1.1738327982196088,0.029226200026996406
SKCM,0.0003341684557574279,0.0007401831949318516,0.0,0.0015147504153053175,0.0010472936802916623,0.0001037205299797783,0.000017646208926613762,0.11519384058374434,0.0020350532297984765,0.0005956770427805081,0.0,0.0006152283948763095,0.00012191123857686043,0.0,0.008041562131725829,0.00004408538133948952,0.00016924338304698814,0.006444540324497403,0.0006905339176855607,0.006881312644153819,0.06712457111325913,0.00011280257332315434,0.0018687418444685302,0.03343704509032675,0.2591161387193251
STAD,0.0022499366512231563,0.002997679767221201,0.011105955869404506,0.001110548859450503,0.14040748934658867,0.0001841770355683946,0.0021991900135648022,0.0006643902999938384,0.0025428080198358865,0.0035666103786497483,0.0003390990719121228,0.0009317133349163715,0.0001429386931013695,0.09360244454392938,0.019142885097639877,0.0004119614859106768,0.005772828277730457,0.000569849039299943,0.0069925928149634645,0.00121544783517746,0.11820031849398645,0.009928827911441953,0.0009237685027426092,0.0370610888388615,0.15778538623575217
