,Comp_0,Comp_1,Comp_2,Comp_3,Comp_4,Comp_7,Comp_8,Comp_12,Comp_6,Comp_5,Comp_13,Comp_20,Comp_15,Comp_23,Comp_10,Comp_22,Comp_17,Comp_9,Comp_18,Comp_19,Comp_11,Comp_21,Comp_16,Comp_14
TCGA-IG-A4QS-01A,0.26383252340058394,3.8112488232925665e-15,0.0004289147390675784,3.943706230134735e-18,2.3353596627568618e-14,7.048208851831845e-16,3.973471666934689e-16,6.731737958762385e-13,0.02936386968979603,1.3498123494651727e-17,1.3504076079653542e-16,0.3133137185399755,1.993097045886734e-09,2.3847756399360323e-16,7.719062832355975e-12,2.3804419295039043e-10,0.3930609572123958,8.670058204142992e-18,2.342369623779633e-14,5.390342360258818e-14,1.3541073979580129e-08,1.628119963486593e-16,2.127311278501916e-15,1.1468435524712887e-13
TCGA-ZH-A8Y5-01A,0.29505166358095936,0.07520006420166635,3.1475934018554385e-08,4.571064498350658e-06,5.028513696450611e-09,2.3732568873640045e-08,0.19813487359732485,3.149562968136915e-11,4.243097766131744e-12,4.118059541743673e-11,0.03600954996764157,6.1387341546081455e-15,7.70225385691816e-08,5.483111690931312e-16,1.5126029816913882e-10,1.9795408041537663e-17,0.3955987859785362,1.0085644313403033e-09,1.3682774592693773e-07,1.1989104404554137e-11,4.438178942571507e-15,3.3189455471387786e-13,2.1557912321967037e-07,2.1505755898104326e-11
TCGA-AA-A01P-01A,0.3466265659073706,1.333938574152334e-10,0.10728777264186304,5.285482976715443e-16,1.867796373475145e-11,3.9409553942200183e-11,5.6256631738730385e-11,4.900109090763432e-06,0.10989532840522022,7.214248391410001e-17,1.4293047722106173e-13,0.03603391882253353,0.0020138794641129058,1.592904746907474e-11,2.1185952417222413e-16,1.419813233936764e-07,0.38692423661763725,6.569491794866335e-13,1.9358906690964676e-09,7.329625959722034e-12,0.011213253178128438,1.5597763625131811e-13,8.206101716336051e-13,2.895503034827807e-13
TCGA-44-6146-01A,0.3194714540629972,3.102749691824023e-17,6.070225533955454e-07,8.559994336734247e-13,1.84873941360377e-22,8.450362693506965e-12,1.2549095012766196e-18,0.08960885063688774,6.1815189921117314e-15,1.1665736712666592e-11,2.1081544205739203e-18,2.7842797531675927e-21,0.21324978927562432,2.461667348099986e-17,3.520939469407715e-21,1.636720569006172e-14,0.37766929832900764,4.706595577621831e-24,4.4086648105988753e-14,8.05116709417906e-20,9.582770894576509e-23,1.3535512348868052e-13,1.4364872156842556e-20,1.956949827854698e-20
TCGA-BR-A4J6-01A,0.2448217436897134,3.2894538022339027e-12,4.845275933515601e-09,2.1521277526433732e-15,8.781619451388322e-18,3.3508609978855955e-19,1.0799292131522438e-19,0.0037177549810052356,0.04033489763591119,2.2742970020549087e-13,7.05559099315427e-10,1.1674770851354715e-10,9.604011024823302e-18,1.0656065306706414e-15,4.765921731040756e-24,0.12103686016616953,0.35770188585871127,3.546346997852199e-10,3.4320874651495895e-11,0.23238685095140252,1.4867883533507392e-19,2.006429209490359e-12,1.4147460606960511e-15,4.3325580539885466e-20
TCGA-EB-A24C-01A,0.001608211511497824,3.360642410555416e-26,1.34570829051542e-32,1.310140268562379e-34,8.852542496976811e-20,1.0336472142135519e-32,3.472416520186965e-29,6.791021776459332e-32,1.4807698379501659e-28,1.7057383869150483e-25,6.802963320691963e-27,2.8159313453554635e-28,3.0092478831626803e-37,2.543124976806433e-32,1.7482157040183767e-34,2.77579707434743e-28,4.480086976633771e-33,0.9983917877572569,2.864439008116723e-33,2.5970742897206363e-23,4.953841785791018e-26,7.877614443450315e-34,6.188467099756917e-24,1.0046686220518963e-21
TCGA-DA-A95Y-06A,0.008450247328211149,9.234453652690682e-24,9.543717315521487e-28,1.3021424828151202e-34,3.1070239773851844e-20,1.5993431025025614e-31,1.1778839103694193e-26,4.098015370382025e-24,6.8463632985701394e-31,4.537961673841977e-26,2.0874841960095313e-29,1.7240389172227273e-28,1.1468960004978937e-31,2.8656461412772187e-30,6.046415002924347e-33,9.201884435791453e-21,1.365229193022743e-26,0.9915497519409933,1.3557620241663665e-31,1.739620864152642e-24,1.929615107615035e-24,1.6773616347879696e-30,3.1503342180548783e-19,2.0897972076592917e-20
TCGA-EB-A5SH-06A,0.011081593256317654,1.796288995698808e-25,1.0964466420766021e-28,3.474896505792805e-32,1.1877492462269256e-17,1.5590499447010718e-24,9.779088234147721e-24,7.941923540954666e-30,1.4069069913766591e-05,2.6532723249798077e-23,4.844995355249276e-27,1.865284210835581e-22,4.526371417605979e-22,1.0324765098885332e-29,1.0103879833838296e-27,2.514422559952415e-35,4.959343096697484e-35,0.9889043369271667,4.9669493042233366e-30,1.9453310890193468e-22,1.5979170811871304e-11,9.207451487135231e-31,2.031967323547573e-21,3.2089340276283677e-21
TCGA-D3-A8GP-06A,0.014861536176050915,2.1695122671567677e-23,4.341128628068711e-27,6.320015383113125e-31,2.5304392933711214e-16,4.397296261666094e-27,4.424581854108948e-25,1.090297051700581e-29,1.9250288813237009e-22,5.949560035058977e-25,1.6569343243719777e-26,1.89994863602298e-27,1.9776267068274043e-24,9.458583770867627e-34,5.0709094905206364e-26,6.984580011032338e-33,1.5563470125145387e-30,0.9851384630935746,9.940806664743049e-33,3.509771350809401e-22,2.3439197147278134e-22,1.4315501427783824e-30,2.5012418405575976e-21,8.865081278852392e-20
TCGA-D3-A8GM-06A,0.028531416522784476,1.5181863787082075e-27,2.5029049554379384e-32,8.355849014938017e-37,3.905368155284307e-19,2.489557225502455e-31,2.9121043600031096e-27,5.922967770214592e-30,3.457720634353381e-12,7.035019039243771e-27,1.9322840649427443e-28,8.13093489687418e-24,2.7794224195193073e-28,9.870348406847313e-32,7.817083033879355e-34,5.917174915448101e-29,1.35980369968706e-36,0.9714685827442822,5.864585970939107e-33,2.3287141183109776e-23,2.434666990768222e-18,7.335312663870393e-33,1.3109258781089554e-24,1.0794923738354546e-22
