,Comp_0,Comp_1,Comp_3,Comp_2,Comp_4,Comp_7,Comp_8,Comp_12,Comp_22,Comp_6,Comp_13,Comp_5,Comp_17,Comp_14,Comp_18,Comp_19,Comp_11,Comp_20,Comp_16,Comp_21,Comp_23,Comp_15,Comp_10,Comp_9
TCGA-SH-A9CU-01A,0.11046050420883267,6.626094811833801e-16,3.82072129863255e-34,3.680430378166186e-28,1.263014092912806e-18,3.742798967786321e-23,2.7775418930875453e-24,4.479726831054548e-29,8.914457893331126e-37,1.1302581466192255e-32,2.051447457904883e-19,3.840065882488267e-17,3.387890169599206e-24,2.14758773950681e-35,1.8015877659664752e-33,0.8895394952008845,1.149592473755607e-21,3.530510430318797e-17,4.361568016485287e-17,9.484883623620875e-28,6.822614621686552e-21,6.513154050558898e-19,8.513807990769951e-24,2.740380363431768e-22
TCGA-LK-A4NW-01A,0.17852406889259706,3.8242813668195916e-14,1.7798321472524232e-28,1.5513569588092022e-30,7.388643900651245e-23,2.6063038063055965e-26,7.651343626046472e-20,4.124490277252622e-23,1.1989376512245788e-30,1.1735789627541736e-15,1.085031277400159e-15,3.407417746762437e-18,1.079761882469539e-27,8.727171037109344e-31,1.3603708301875137e-33,0.8214759305129834,2.0517845897963077e-24,1.6198749206602885e-12,2.4935225374977867e-15,3.624540868507333e-27,4.749554186192427e-18,1.760759037405102e-24,1.6244530771624848e-21,2.7571322500198193e-20
TCGA-3U-A98I-01A,0.1812821034478535,1.1455802280521313e-14,7.258967740889615e-33,6.033943735474436e-30,3.042447158509526e-18,3.729446363307935e-28,4.643488040377817e-26,4.0839004274230195e-25,2.5755379482078494e-31,3.522169449711654e-23,7.568869195705425e-17,2.1378838113248183e-21,8.878551480233931e-26,1.3467152045378096e-29,3.0374118404074346e-32,0.8187178959592731,2.1055804976004537e-21,4.616435851514515e-15,3.19707123576315e-16,2.4772652834583704e-27,1.1621284362409642e-21,1.5691941264244076e-21,6.6320550748257215e-19,3.6448970524236695e-20
TCGA-3U-A98E-01A,0.20473687547903371,2.735028455276196e-20,1.1295207025478963e-34,8.41724991587766e-32,3.7075450847462196e-23,7.391224768098176e-24,8.611329736219204e-26,2.4394613263590767e-29,3.116787953405161e-40,6.466274483324354e-21,2.279329505869326e-22,7.977965036968341e-24,2.5034612398650056e-29,1.0053110174398995e-21,2.545649571026153e-40,0.7952631239272472,1.2169787790445095e-18,9.495235001210133e-15,4.350795670389985e-20,5.457053533638238e-30,1.871446430060642e-20,3.712896642684428e-24,1.257707842545414e-25,1.0433646105564924e-19
TCGA-MQ-A4KX-01A,0.25930023999956675,2.8789754124373445e-17,1.8994913799189876e-33,1.980029050886615e-31,3.089969890495892e-20,6.401900953858855e-22,7.562993340872612e-26,1.9299139898599109e-28,1.9654748820478265e-39,4.4839280641132663e-07,6.163438279528668e-20,1.2862885205332712e-22,3.3003705757491206e-28,3.146440256078298e-17,1.2783250064591025e-37,0.7406993110114996,4.243815881956078e-13,8.949483264798673e-15,3.577527644232062e-17,4.527844049627561e-28,8.87077658142627e-17,1.3560782606385375e-21,2.745495420667889e-23,1.3433378881968488e-16
TCGA-F7-A624-01A,0.21188865514238162,2.569408031025952e-13,6.148694362925757e-23,3.3163835768053967e-15,4.806792062936604e-17,5.6463855578639625e-21,3.2801051844173436e-21,3.885629070782349e-08,6.539235298840884e-11,1.285823721589223e-06,2.0155601344281492e-19,5.339279769008069e-22,3.7657185185471335e-11,0.1258278501664005,8.557090152140475e-23,0.6622819680512356,1.405748474232809e-07,4.089665387268987e-12,6.065669988421299e-08,2.1018128158157304e-14,1.5517404100306337e-16,1.8481217662493742e-16,6.242941255672478e-13,1.4223737116844219e-11
TCGA-CN-A49B-01A,0.06723098861483735,2.602086109949136e-20,1.2337453812699722e-19,7.691874699003213e-15,5.0779529130408754e-21,1.1964903520343984e-17,2.3758921095434508e-18,8.381450463141417e-14,0.24044245503428643,0.09527013180845889,5.009532624771081e-19,8.200461329359302e-17,5.576604226574461e-13,6.2867501034763975e-12,0.0005925992771494423,0.5964638245928946,4.2761380930559594e-14,9.318334323593017e-17,4.873257990035832e-20,1.4433535933046363e-11,7.277928359985555e-13,8.009944004755042e-18,1.5579298478301882e-20,6.569976457860571e-23
TCGA-85-A4JB-01A,0.1913978351267453,3.574040668558566e-19,4.2678577987508474e-23,2.3628824241722953e-20,2.7054707357648867e-18,8.020125732600781e-18,5.424172350888133e-23,1.0254743775020291e-13,0.03272054824672359,0.23669393176699313,3.8960318940290294e-11,1.232510008352107e-19,2.864046371612869e-18,1.6579989294251195e-15,2.3405058345932224e-10,0.5228076214841967,0.016380062286214452,3.6330067296545533e-16,1.1293735034035945e-20,2.749167826923097e-11,1.5589575152849762e-10,6.1353042122894996e-18,1.596746977941825e-15,2.1849565757360707e-18
TCGA-LN-A8HZ-01A,0.1612553572280579,3.727905462068242e-18,3.7785761680219333e-22,4.195300495244298e-18,2.2066338564755473e-18,2.6441649241132606e-15,0.00036613225629703717,1.5447968058525934e-16,0.4111565432587569,1.2444367697264171e-16,3.040320994316918e-19,1.1158373610817824e-16,1.0094810022894703e-18,4.203994386404716e-07,6.429575346261944e-15,0.42722154554847924,2.1528059260682719e-16,2.777799592050324e-16,2.301418450216534e-19,2.6249083766738526e-11,6.076186499035758e-10,1.534901659380431e-17,9.177136575577724e-19,1.6476664079296409e-18
TCGA-CV-A468-01A,0.12818665918487743,2.141322682909892e-20,2.7737795917513185e-20,1.8431407334527885e-18,7.184373699158855e-19,3.5932905951084194e-20,3.6288151590646216e-24,1.468374100828588e-15,0.20854489194017747,0.2162368634177346,9.881668145186791e-16,1.318340329564233e-17,4.9628797977667536e-17,0.1478029004472988,0.0001466267505623726,0.2990649515044848,1.7065365723474983e-05,7.590876139235044e-13,4.155020206544315e-15,9.940581947746392e-11,4.051816643214688e-08,9.40002988662792e-11,3.010746728451483e-20,8.894446664510911e-21
