original_index,sample_id
88,TCGA-B8-A54G-01A
89,TCGA-B8-A54H-01A
77,TCGA-B8-A54J-01A
95,TCGA-B8-A54K-01A
328,TCGA-B8-A8YJ-01A
28,TCGA-B9-A44B-01A
329,TCGA-B9-A5W8-01A
98,TCGA-B9-A5W9-01A
349,TCGA-B9-A8YI-01A
387,TCGA-BA-A4IH-01A
240,TCGA-BA-A8YP-01A
350,TCGA-BC-A10S-01A
351,TCGA-BC-A10T-01A
348,TCGA-BC-A10U-01A
266,TCGA-BC-A10W-01A
242,TCGA-BC-A10X-01A
273,TCGA-BC-A3KF-01A
241,TCGA-BC-A5W4-01A
364,TCGA-BC-A8YO-01A
3,TCGA-BG-A0M8-01A
0,TCGA-BG-A0MH-01A
244,TCGA-BG-A0MK-01A
230,TCGA-BG-A0MS-01A
2,TCGA-BG-A0RY-01A
342,TCGA-BH-A0B1-01A
272,TCGA-BH-A0B5-01A
33,TCGA-BH-A0BA-01A
35,TCGA-BH-A0BZ-01A
29,TCGA-BH-A0C1-01A
1,TCGA-BH-A0DL-01A
379,TCGA-BH-A0DP-01A
397,TCGA-BH-A0DV-01A
400,TCGA-BH-A0E0-01A
396,TCGA-BH-A0EE-01A
401,TCGA-BH-A0HP-01A
398,TCGA-BH-A1EV-01A
399,TCGA-BJ-A0Z0-01A
395,TCGA-BJ-A0Z2-01A
262,TCGA-BJ-A0Z3-01A
252,TCGA-BJ-A0Z5-01A
254,TCGA-BJ-A0ZA-01A
259,TCGA-BJ-A0ZC-01A
263,TCGA-BJ-A192-01A
255,TCGA-BJ-A290-01A
380,TCGA-BJ-A3PU-01A
253,TCGA-BK-A0C9-01A
261,TCGA-BK-A13B-01A
258,TCGA-BL-A13J-01A
394,TCGA-BL-A3JM-01A
257,TCGA-BR-A452-01A
256,TCGA-BR-A4CR-01A
265,TCGA-BR-A4CS-01A
264,TCGA-BR-A4IY-01A
296,TCGA-BR-A4J1-01A
145,TCGA-BR-A4J2-01A
274,TCGA-BR-A4J4-01A
231,TCGA-BR-A4J5-01A
149,TCGA-BR-A4J6-01A
233,TCGA-BR-A4J7-01A
146,TCGA-BR-A4J9-01A
151,TCGA-BR-A4QL-01A
207,TCGA-C8-A12K-01A
147,TCGA-C8-A12M-01A
206,TCGA-C8-A12O-01A
150,TCGA-C8-A12Q-01A
144,TCGA-C8-A12T-01A
232,TCGA-C8-A12U-01A
234,TCGA-C8-A12V-01A
305,TCGA-C8-A12Y-01A
148,TCGA-C8-A130-01A
304,TCGA-C8-A133-01A
24,TCGA-C8-A137-01A
323,TCGA-C8-A8HR-01A
20,TCGA-CC-A123-01A
42,TCGA-CC-A7IF-01A
320,TCGA-CD-A486-01A
300,TCGA-CD-A48C-01A
46,TCGA-CE-A13K-01A
47,TCGA-CF-A1HR-01A
21,TCGA-CF-A3MI-01A
43,TCGA-CJ-5671-01A
333,TCGA-CJ-5677-01A
45,TCGA-CJ-5679-01A
321,TCGA-CN-A49B-01A
18,TCGA-CU-A3YL-01A
44,TCGA-CV-A468-01A
324,TCGA-D3-A8GM-06A
32,TCGA-D3-A8GP-06A
